ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
AAPL,2017-09-25T14:40:00,1506364800,150.155,150.22,150.25,150.06,150.135,223855,150.17084,142.23000000000002,343057
AAPL,2017-09-25T14:35:00,1506364500,150.14,150.09,150.32,149.96,150.215,444902,150.10481,142.175,439851
AAPL,2017-09-25T14:30:00,1506364200,150.115,150.2001,150.22,150.01,150.09,231307,150.12791,142.2425,290426
AAPL,2017-09-25T14:25:00,1506363900,150.21005000000002,150.3701,150.3701,150.05,150.2089,342777,150.21619,142.335,375371
AAPL,2017-09-25T14:20:00,1506363600,150.425,150.48,150.5,150.35,150.37,272771,150.43502,142.445,176426
AAPL,2017-09-25T14:15:00,1506363300,150.5575,150.61,150.63,150.485,150.485,173969,150.56824,142.51,155581
AAPL,2017-09-25T14:10:00,1506363000,150.58499999999998,150.68,150.7,150.47,150.62,190314,150.57049,142.53,292682
AAPL,2017-09-25T14:05:00,1506362700,150.6775,150.79,150.795,150.56,150.69,221144,150.66993,142.5875,188746
AAPL,2017-09-25T14:00:00,1506362400,150.74,150.66,150.82,150.66,150.78,222124,150.77533,142.6722,87282
AAPL,2017-09-25T13:55:00,1506362100,150.66000000000003,150.67,150.71,150.61,150.65,149082,150.65363,142.6205,92622
AAPL,2017-09-25T13:50:00,1506361800,150.72,150.7534,150.84,150.6,150.66,217089,150.71492,142.675,105977
AAPL,2017-09-25T13:45:00,1506361500,150.765,150.815,150.83,150.7,150.7599,149367,150.74723,142.645,115777
AAPL,2017-09-25T13:40:00,1506361200,150.75635,150.6899,150.8327,150.68,150.8175,229297,150.76737,142.7242,534458
AAPL,2017-09-25T13:35:00,1506360900,150.70499999999998,150.6803,150.78,150.63,150.6901,265544,150.71178,142.6475,408969
AAPL,2017-09-25T13:30:00,1506360600,150.57495,150.55,150.6899,150.46,150.6899,251474,150.559,142.5475,293678
AAPL,2017-09-25T13:25:00,1506360300,150.605,150.665,150.7,150.51,150.55,250788,150.60496,142.615,637232
AAPL,2017-09-25T13:20:00,1506360000,150.70999999999998,150.65,150.78,150.64,150.6608,185177,150.69196,142.7225,344219
AAPL,2017-09-25T13:15:00,1506359700,150.72,150.73,150.8,150.64,150.6443,156835,150.7159,142.69,191951
AAPL,2017-09-25T13:10:00,1506359400,150.72,150.72,150.81,150.63,150.74,181353,150.73646,142.66495,488114
AAPL,2017-09-25T13:05:00,1506359100,150.7305,150.65,150.83,150.631,150.73,156607,150.75588,142.675,262668
AAPL,2017-09-25T13:00:00,1506358800,150.70350000000002,150.77,150.787,150.62,150.6528,226520,150.68641,142.6575,331336
AAPL,2017-09-25T12:55:00,1506358500,150.80200000000002,150.81,150.894,150.71,150.7705,245210,150.80737,142.72,819619
AAPL,2017-09-25T12:50:00,1506358200,150.70499999999998,150.57,150.84,150.57,150.81,318683,150.73025,142.66,715095
